21,10
42,26
24,16
24,14
17,10
3,13
3,10
18,15
3,27
21,32
26,30
13,6
37,0
14,34
13,20
28,14
14,23
40,18
7,28
44,13
13,45
42,10
21,13
3,20
38,14
20,16
17,19
20,21
24,14
3,31
16,7
28,21
14,10
24,15
20,6
28,15
30,10
36,42
20,16
26,7
23,9
0,35
20,13
31,23
24,14
34,21
31,26
21,17
25,27
15,14
18,23
17,20
29,26
31,37
31,28
9,7
10,13
13,20
24,14
17,14
0,24
27,10
35,13
24,16
17,38
10,17
14,34
24,27
9,10
28,35
17,3
27,24
27,31
18,17
20,24
41,14
31,20
31,34
35,21
12,13
10,20
37,31
34,7
10,13
23,6
27,21
27,24
21,13
14,30
28,24
20,25
10,24
9,16
7,21
27,14
21,20
38,28
21,11
48,14
30,13
20,13
12,20
27,7
24,27
48,17
28,27
10,17
34,27
12,15
26,16
17,20
10,16
20,23
24,27
17,27
45,38
34,20
20,7
0,24
3,36
34,24
20,23
22,25
17,24
7,20
10,17
28,16
24,26
27,29
17,20
7,10
21,24
6,13
18,0
27,34
34,17
10,28
24,34
19,7
21,40
3,13
17,24
10,23
31,34
35,0
27,23
14,20
21,10
13,10
39,27
21,16
16,17
13,10
6,35
13,16
15,31
21,28
25,24
17,7
27,16
15,12
10,14
28,26
10,28
20,13
18,7
24,14
20,7
27,14
42,24
10,20
41,6
17,13
6,13
41,27
15,14
29,3
26,23
26,20
10,15
21,0
27,24
9,12
6,20
21,26
27,3
21,34
20,13
13,3
10,13
33,30
15,20
16,0
30,7
17,10
47,14
3,33
48,21
28,29
20,17
27,24
32,38
22,10
7,30
21,14
9,14
0,24
38,41
42,17
26,30
24,13
24,21
23,17
26,23
22,25
27,21
10,40
20,17
31,13
34,7
21,23
28,7
15,10
29,10
25,34
33,13
21,18
6,38
22,24
13,17
0,38
19,3
38,24
31,9
3,20
25,15
16,13
19,33
27,10
45,17
17,24
29,24
20,17
13,24
39,45
13,14
20,7
14,24
31,7
35,20
24,3
16,23
13,21
7,44
21,26
17,30
0,25
21,13
7,37
28,23
14,21
30,3
28,31
44,13
31,37
3,23
41,38
23,29
30,3
15,23
9,6
20,10
26,14
17,14
33,27
16,13
10,13
35,17
48,30
48,23
21,14
26,21
21,7
28,3
7,35
52,25
34,23
13,16
21,26
28,21
25,29
26,13
17,21
31,49
28,25
32,29
26,9
37,13
6,20
14,31
21,34
10,17
22,20
24,31
14,13
17,3
31,24
10,28
23,14
35,34
22,24
27,43
28,13
7,34
21,28
10,23
30,0
23,20
9,6
34,37
34,17
17,10
20,7
21,27
37,20
35,27
20,10
30,9
28,10
38,28
35,37
25,7
21,24
16,24
24,17
19,21
26,21
20,10
18,31
14,17
9,12
24,30
17,3
20,17
3,38
9,7
24,17
38,24
7,38
13,44
13,19
20,23
20,23
14,27
15,23
3,14
24,10
34,34
38,27
40,14
17,10
13,35
17,13
13,10
30,33
24,34
20,27
28,24
6,27
26,7
10,34
38,14
26,7
17,16
23,10
20,27
20,3
9,31
31,21
21,24
27,20
24,17
14,31
31,23
20,17
19,17
21,16
0,41
31,13
29,21
15,24
20,17
21,7
20,23
21,19
39,32
24,17
16,14
20,41
30,3
20,17
13,12
17,38
12,20
27,20
49,0
24,30
23,27
6,13
30,20
30,27
19,3
38,21
23,25
31,24
