80,19,14,2,3
57.14,12,8,1,3
59.09,15,9,0,6
51.28,14,11,2,1
57.89,19,12,0,7
55.88,17,11,2,4
58.06,17,8,0,9
67.39,23,15,2,6
66.67,19,15,0,4
55.56,19,8,2,9
66.67,22,18,0,4
40,19,10,4,5
46.88,8,4,1,3
65.625,14.5,7,1.5,6
66.565,21.5,15.5,2.5,3.5
65,15.5,9,0,6.5
55.76,15,6,1.5,7.5
47.685,11,4.5,1,5.5
71.545,21.5,11.5,2.5,7.5
74.03,25,13.5,2.5,9
46.62,13.5,8.5,1.5,3.5
53.53,15,9.5,0,5.5
60,17,9,1,7
56.76,15,9,1,5
48.16,12.5,4.5,2,6
73.53,19,13,3,3
60.44,17,10,0.5,6.5
61.425,17.5,11,2.5,4
61.6466666667,14,10,0,4
61.035,15.5,10.5,1,4
62.0833333333,16,8.3333333333,1,6.6666666667
44.0133333333,11,4.3333333333,2,4.6666666667
69.0633333333,21.6666666667,14,1.6666666667,6
57.3333333333,15.3333333333,9,1.3333333333,5
57.7466666667,18.6666666667,12,1,5.6666666667
63.6433333333,21,14.3333333333,1,5.6666666667
58.3133333333,16.6666666667,10.3333333333,1.3333333333,5
54.4,15.6666666667,7.6666666667,1,7
59.75,20.3333333333,10.6666666667,1.3333333333,8.3333333333
49.165,16,8.5,2.5,5
50.04,9,4.6666666667,1,3.3333333333
70.8866666667,23,16,1,6
59.7,18,10.6666666667,2.6666666667,4.6666666667
59.5475,20.5,12.25,2.5,5.75
58.49,16.25,8.5,1.25,6.5
62.475,20,10.75,1.25,8
60.0433333333,15.3333333333,10,1.6666666667,3.6666666667
57.4525,16,8.5,0.5,7
53.95,19,10.3333333333,2.3333333333,6.3333333333
54.105,17.75,10.75,1.25,5.75
66.785,18.75,11,1.75,6
62.48,16.6666666667,6.6666666667,1,9
56.3,19,10.25,1,7.75
63.93,19,9.75,0.5,8.75
70.5533333333,17,10.6666666667,1.6666666667,4.6666666667
48.015,9,4.25,1.25,3.5
59.76,18.25,11,2.5,4.75
63.758,18,9.8,1.8,6.4
57.96,20.8,11.6,2.4,6.8
60.098,14.4,10.4,1,3
65.0425,14.75,8.5,1,5.25
63.314,20,11.2,2,6.8
68.748,20.6,13.8,1.6,5.2
56.844,18.2,11.2,1,6
57.21,18.4,11,2.2,5.2
61.86,16.5,7,0.75,8.75
70.382,22.2,15.6,1.4,5.2
54.77,15.5,8.5,1.5,5.5
61.7625,17.5,10.5,1,6
66.864,24.8,14.4,2.2,8.2
59.43,18,10.4,2.2,5.4
63.142,18.4,11.2,2.4,4.8
56.01,17,9.5,1.1666666667,6.3333333333
57.478,15.6,9.6,1.2,4.8
59.676,16.6,9.2,0.6,6.8
66.5533333333,20.8333333333,13,1.3333333333,6.5
61.1666666667,18.5,11.1666666667,2,5.3333333333
51.164,18.8,10.2,1.8,6.8
55.5316666667,17.1666666667,10.3333333333,1,5.8333333333
59.675,17.3333333333,9,2,6.3333333333
64.678,18.6,11.4,1.4,5.8
64.314,20.6,11,0.6,9
52.704,16,8.8,1.8,5.4
60.57,21.1428571429,12.2857142857,2.1428571429,6.7142857143
57.7642857143,14,9.4285714286,0.8571428571,3.7142857143
57.5116666667,15,8.3333333333,1.6666666667,5
48.09,14.6666666667,5.3333333333,2.1666666667,7.1666666667
62.0666666667,18.1666666667,12.3333333333,1.6666666667,4.1666666667
66.275,23.5,13.5,2,8
59.16,16.1666666667,10,1.5,4.6666666667
54.73,19.4285714286,12.4285714286,1.4285714286,5.5714285714
61.5857142857,18.8571428571,10.8571428571,2.4285714286,5.5714285714
59.9728571429,17.2857142857,9,1.8571428571,6.4285714286
58.1966666667,15.6666666667,9.1666666667,1.1666666667,5.3333333333
56.4233333333,17.6666666667,8.5,2.6666666667,6.5
65.1816666667,19.6666666667,12.5,1.6666666667,5.5
63.33,19.5714285714,11,1.7142857143,6.8571428571
61.9857142857,18.2857142857,11.1428571429,2,5.1428571429
56.225,13.75,9.125,0.875,3.75
57.0028571429,17.5714285714,9.5714285714,1.2857142857,6.7142857143
49.0542857143,15,6.2857142857,2.1428571429,6.5714285714
66.1428571429,18.4285714286,12.4285714286,1.2857142857,4.7142857143
54.62,19.625,11.75,1.25,6.625
61.4885714286,16.4285714286,9.7142857143,0.5714285714,6.1428571429
64.7385714286,19.4285714286,11.8571428571,1.5714285714,6
51.6742857143,17.4285714286,9.5714285714,1.7142857143,6.1428571429
58.165,18.375,11.875,1,5.5
66.0428571429,20.2857142857,11.2857142857,1.7142857143,7.2857142857
61.42,18.2857142857,8.7142857143,1,8.5714285714
58.22625,19.625,11.75,1.625,6.25
64.4414285714,19,12.1428571429,1.8571428571,5
60.95375,19.75,11.625,2,6.125
58.55625,15.625,8.5,1.625,5.5
65.13625,19.375,11.875,1.625,5.875
57.56125,14.625,8.5,1.5,4.625
58.1125,17.5,11.125,2,4.375
65.1525,22.125,12.75,1.875,7.5
60.38625,17.25,10.375,1.625,5.25
60.3544444444,17.2222222222,9.1111111111,1.4444444444,6.6666666667
59.035,17.5,9.5,1.25,6.75
56.0577777778,18.4444444444,10.8888888889,1.5555555556,6
56.30375,18,8.75,2,7.25
66.25375,21.375,12.125,1.125,8.125
69.375,22.25,14.75,1.125,6.375
57.3625,17.75,10.25,1.625,5.875
53.68875,12.5,6.5,0.875,5.125
58.6466666667,18.5555555556,11.4444444444,1.1111111111,6
61.495,19.2,11.2,1.6,6.4
64.1722222222,17.7777777778,12.2222222222,1.1111111111,4.4444444444
58.9233333333,18,12,1.5555555556,4.4444444444
58.4944444444,16.6666666667,9.6666666667,1.5555555556,5.4444444444
59.704,18.9,11.5,1.7,5.7
64.1211111111,18.6666666667,11.6666666667,1.6666666667,5.3333333333
57.05,17.5555555556,10.3333333333,1.2222222222,6
61.5288888889,16,9.6666666667,0.4444444444,5.8888888889
56.3933333333,19,10.8888888889,1.6666666667,6.4444444444
65.6944444444,20.3333333333,12.1111111111,1.5555555556,6.6666666667
61.0922222222,18.6666666667,9,0.8888888889,8.7777777778
57.7777777778,17.7777777778,8.5555555556,1.7777777778,7.4444444444
65.8877777778,21.8888888889,13,1.2222222222,7.6666666667
53.4577777778,13.1111111111,6.8888888889,1,5.2222222222
64.1188888889,19.4444444444,12.8888888889,1.7777777778,4.7777777778
57.784,16.4,8.5,1.4,6.5
59.16,18,12,1.5,4.5
61.081,18.9,11.6,2.5,4.8
56.2090909091,13.2727272727,8.5454545455,1,3.7272727273
50.085,14.7,6.5,1.9,6.3
61.2336363636,19.1818181818,11,1.6363636364,6.5454545455
56.655,18.9,11.8,2.4,4.7
64.629,22.5,13.4,1.8,7.3
63.811,19.1,12.1,1.5,5.5
64.8836363636,18.8181818182,10.3636363636,2.1818181818,6.2727272727
56.7236363636,18,10.4545454545,1.4545454545,6.0909090909
67.515,22.3,15.1,1.1,6.1
63.883,19.3,12.6,1.7,5
58.506,17.6,10.5,1.6,5.5
64.678,18.3,12.3,1.5,4.5
55.89,13.0833333333,8.3333333333,1.0833333333,3.6666666667
61.3372727273,17.9090909091,10.4545454545,1.6363636364,5.8181818182
58.7490909091,14.9090909091,8.3636363636,1.6363636364,4.9090909091
56.91,18.7272727273,11.8181818182,2.3636363636,4.5454545455
59.6581818182,17.3636363636,11.1818181818,1.7272727273,4.4545454545
55.4645454545,19.4545454545,11.1818181818,1.1818181818,7.0909090909
55.7790909091,19.9090909091,11.6363636364,1.7272727273,6.5454545455
57.6890909091,18.4545454545,11.2727272727,1.0909090909,6.0909090909
58.8236363636,16.7272727273,8.6363636364,1.3636363636,6.7272727273
56.795,18.0833333333,10.3333333333,1.5833333333,6.1666666667
57.8027272727,17.1818181818,8.3636363636,1.6363636364,7.1818181818
66.0909090909,21.7272727273,12.5454545455,1.1818181818,8
59.4072727273,17.2727272727,10.4545454545,1.6363636364,5.1818181818
54.6290909091,13.5454545455,7.0909090909,1.0909090909,5.3636363636
63.8672727273,21.9090909091,13.4545454545,1.6363636364,6.8181818182
59.0258333333,18.4166666667,11.9166666667,1.75,4.75
66.3075,20,11.8333333333,1.3333333333,6.8333333333
57.6091666667,16.9166666667,9.5833333333,1.8333333333,5.5
54.6808333333,16.5833333333,9.8333333333,1.1666666667,5.5833333333
51.3525,15,6.5833333333,1.6666666667,6.75
60.3753846154,19.2307692308,11,1.6923076923,6.5384615385
63.29,18.3333333333,12.25,1.5833333333,4.5
60.6766666667,17.3333333333,11.4166666667,1.6666666667,4.25
62.2216666667,16.5833333333,9.75,0.5833333333,6.25
64.8108333333,18.9166666667,12.25,1.25,5.4166666667
65.6161538462,18.3846153846,10.3846153846,1.9230769231,6.0769230769
57.9966666667,16.4166666667,9.1666666667,1.3333333333,5.9166666667
61.0991666667,19.3333333333,9.5833333333,0.9166666667,8.8333333333
64.5858333333,19.6666666667,13.0833333333,1.75,4.8333333333
67.58,22.0833333333,15,1.1666666667,5.9166666667
61.8307692308,16.2307692308,9.6153846154,0.5384615385,6.0769230769
57.1553846154,16,9,1.2307692308,5.7692307692
60.9507692308,18.2307692308,11.3076923077,1.3846153846,5.5384615385
60.3876923077,18.2307692308,11.4615384615,2.3076923077,4.4615384615
59.8107692308,17.6153846154,9.8461538462,1.6153846154,6.1538461538
55.1569230769,16.6153846154,9.6923076923,1.0769230769,5.8461538462
59.04,14.7692307692,8.4615384615,1.4615384615,4.8461538462
50.6653846154,14.6153846154,6.3846153846,1.5384615385,6.6923076923
55.66,18.3846153846,11.4615384615,2.1538461538,4.7692307692
60.4046153846,17.4615384615,11.3076923077,1.6153846154,4.5384615385
56.8315384615,19.6153846154,11.8461538462,1.6923076923,6.0769230769
59.0023076923,16.5384615385,8.7692307692,1.3846153846,6.3846153846
55.5957142857,17.7857142857,10.5,1.4285714286,5.8571428571
56.2907692308,17.3846153846,8.4615384615,1.7692307692,7.1538461538
67.9107692308,22,15,1.3076923077,5.6923076923
