Team,Year,Week,Offense DVOA,Weighted Offense DVOA,Defense DVOA,Weighted Defense DVOA,ST DVOA,Weighted ST DVOA
NO,2014,3,24.60%,24.60%,15.40%,15.40%,1.60%,1.60%
BAL,2014,3,2.20%,2.20%,-0.40%,-0.40%,-0.20%,-0.20%
CAR,2014,3,4.40%,4.40%,-2.00%,-2.00%,-4.60%,-4.60%
CLE,2014,3,23.60%,23.60%,18.90%,18.90%,-3.20%,-3.20%
GB,2014,3,-4.50%,-4.50%,2.20%,2.20%,6.60%,6.60%
SF,2014,3,5.40%,5.40%,4.80%,4.80%,-2.40%,-2.40%
DAL,2014,3,3.30%,3.30%,8.50%,8.50%,3.10%,3.10%
SD,2014,3,-1.80%,-1.80%,5.60%,5.60%,1.00%,1.00%
IND,2014,3,1.30%,1.30%,13.40%,13.40%,3.80%,3.80%
HOU,2014,3,0.00%,0.00%,6.10%,6.10%,-5.00%,-5.00%
NYJ,2014,3,-17.70%,-17.70%,-6.40%,-6.40%,-1.00%,-1.00%
MIA,2014,3,-4.30%,-4.30%,-6.80%,-6.80%,-16.50%,-16.50%
TEN,2014,3,-13.70%,-13.70%,-0.40%,-0.40%,-9.90%,-9.90%
OAK,2014,3,-25.00%,-25.00%,0.10%,0.10%,0.50%,0.50%
KC,2014,3,-11.50%,-11.50%,13.80%,13.80%,-0.50%,-0.50%
NYG,2014,3,-14.20%,-14.20%,3.20%,3.20%,-9.20%,-9.20%
STL,2014,3,-14.80%,-14.80%,14.00%,14.00%,-0.90%,-0.90%
MIN,2014,3,-29.20%,-29.20%,4.50%,4.50%,-1.30%,-1.30%
JAC,2014,3,-34.00%,-34.00%,13.90%,13.90%,-4.70%,-4.70%
TB,2014,3,-38.60%,-38.60%,12.80%,12.80%,-13.90%,-13.90%
CIN,2014,4,19.20%,19.20%,-21.50%,-21.50%,1.00%,1.00%
SEA,2014,4,25.40%,25.40%,-8.90%,-8.90%,-1.60%,-1.60%
DEN,2014,4,19.70%,19.70%,-11.20%,-11.20%,-0.70%,-0.70%
ATL,2014,4,26.60%,26.60%,10.90%,10.90%,10.60%,10.60%
BAL,2014,4,16.10%,16.10%,-4.70%,-4.70%,0.30%,0.30%
GB,2014,4,14.80%,14.80%,-1.10%,-1.10%,4.90%,4.90%
DET,2014,4,4.00%,4.00%,-20.60%,-20.60%,-8.40%,-8.40%
ARI,2014,4,-4.00%,-4.00%,-14.40%,-14.40%,5.70%,5.70%
PHI,2014,4,-8.30%,-8.30%,-7.90%,-7.90%,10.90%,10.90%
BUF,2014,4,-10.80%,-10.80%,-8.60%,-8.60%,10.50%,10.50%
NYG,2014,4,1.00%,1.00%,-11.10%,-11.10%,-3.80%,-3.80%
SD,2014,4,4.50%,4.50%,-2.50%,-2.50%,0.80%,0.80%
DAL,2014,4,12.10%,12.10%,8.30%,8.30%,3.30%,3.30%
CHI,2014,4,4.20%,4.20%,-3.30%,-3.30%,-1.20%,-1.20%
PIT,2014,4,12.50%,12.50%,10.10%,10.10%,2.70%,2.70%
CLE,2014,4,20.80%,20.80%,13.40%,13.40%,-3.00%,-3.00%
IND,2014,4,9.00%,9.00%,9.90%,9.90%,3.50%,3.50%
KC,2014,4,5.60%,5.60%,3.50%,3.50%,0.20%,0.20%
SF,2014,4,1.10%,1.10%,-9.30%,-9.30%,-9.50%,-9.50%
MIA,2014,4,-2.60%,-2.60%,-9.20%,-9.20%,-11.30%,-11.30%
NO,2014,4,15.70%,15.70%,20.20%,20.20%,-0.50%,-0.50%
WAS,2014,4,3.30%,3.30%,-2.30%,-2.30%,-11.10%,-11.10%
NE,2014,4,-17.00%,-17.00%,-8.00%,-8.00%,3.20%,3.20%
HOU,2014,4,-11.10%,-11.10%,-6.50%,-6.50%,-2.70%,-2.70%
NYJ,2014,4,-19.70%,-19.70%,-1.40%,-1.40%,1.90%,1.90%
MIN,2014,4,-10.80%,-10.80%,7.90%,7.90%,1.10%,1.10%
CAR,2014,4,-2.50%,-2.50%,13.10%,13.10%,-2.70%,-2.70%
TEN,2014,4,-16.00%,-16.00%,5.80%,5.80%,-6.20%,-6.20%
STL,2014,4,-16.70%,-16.70%,14.20%,14.20%,-0.70%,-0.70%
OAK,2014,4,-31.10%,-31.10%,6.90%,6.90%,4.20%,4.20%
TB,2014,4,-30.80%,-30.80%,8.80%,8.80%,-8.60%,-8.60%
JAC,2014,4,-33.90%,-33.90%,14.30%,14.30%,-1.80%,-1.80%
DEN,2014,5,26.30%,26.30%,-15.60%,-15.60%,-0.60%,-0.50%
SEA,2014,5,23.80%,23.50%,-12.00%,-11.80%,2.60%,2.70%
GB,2014,5,18.10%,18.30%,-6.40%,-6.60%,4.70%,4.80%
BAL,2014,5,10.80%,10.90%,-10.20%,-10.30%,1.60%,1.80%
CIN,2014,5,14.40%,14.50%,-7.20%,-7.10%,-2.10%,-2.30%
ATL,2014,5,22.10%,21.90%,12.70%,12.70%,9.30%,9.30%
SD,2014,5,9.00%,9.50%,-5.60%,-5.80%,1.00%,1.00%
NYG,2014,5,3.20%,3.70%,-8.80%,-9.20%,-2.30%,-2.30%
DET,2014,5,-3.90%,-4.20%,-22.60%,-22.40%,-9.50%,-9.50%
NE,2014,5,-5.40%,-5.40%,-6.50%,-6.60%,5.60%,5.70%
PIT,2014,5,10.90%,10.80%,6.30%,6.20%,1.80%,1.80%
DAL,2014,5,11.10%,11.30%,7.40%,7.10%,2.10%,2.20%
PHI,2014,5,-5.50%,-5.30%,-1.00%,-0.90%,10.20%,10.20%
KC,2014,5,4.30%,4.80%,1.00%,0.80%,1.60%,1.50%
BUF,2014,5,-17.40%,-17.70%,-13.80%,-14.00%,8.00%,7.90%
IND,2014,5,3.50%,3.50%,3.10%,2.90%,3.70%,3.70%
SF,2014,5,0.50%,0.20%,-9.90%,-9.80%,-6.30%,-6.40%
CLE,2014,5,21.20%,21.10%,17.90%,17.90%,-1.10%,-1.00%
CHI,2014,5,2.20%,2.00%,-4.10%,-4.30%,-5.50%,-5.60%
ARI,2014,5,-8.20%,-8.30%,-6.70%,-6.30%,1.90%,2.10%
MIA,2014,5,-0.70%,-0.80%,-8.70%,-8.50%,-10.90%,-11.10%
CAR,2014,5,1.00%,1.00%,10.10%,10.50%,1.20%,1.30%
WAS,2014,5,2.90%,3.10%,1.10%,1.20%,-10.00%,-9.90%
HOU,2014,5,-9.40%,-9.30%,-2.80%,-2.80%,-3.00%,-3.00%
NO,2014,5,11.60%,11.60%,22.30%,22.00%,0.10%,0.00%
TEN,2014,5,-8.40%,-8.70%,7.10%,7.50%,-6.10%,-6.10%
NYJ,2014,5,-24.90%,-25.00%,1.70%,1.80%,2.90%,2.90%
STL,2014,5,-7.80%,-7.20%,12.90%,12.60%,-5.10%,-5.10%
MIN,2014,5,-20.10%,-20.30%,8.40%,8.80%,1.30%,1.30%
