Team,Year,Week,Offense DVOA,Weighted Offense DVOA,Defense DVOA,Weighted Defense DVOA,ST DVOA,Weighted ST DVOA
NE,2014,11,13.80%,15.40%,-0.10%,1.00%,5.80%,6.20%
KC,2014,11,12.70%,14.00%,0.40%,-0.60%,4.80%,5.40%
SEA,2014,11,13.10%,11.40%,-5.30%,-4.40%,-3.30%,-3.50%
PHI,2014,11,-3.40%,-3.60%,-5.60%,-6.20%,7.40%,7.20%
DET,2014,11,-7.50%,-8.20%,-22.30%,-22.10%,-5.90%,-5.30%
PIT,2014,11,16.90%,16.70%,8.80%,7.90%,-1.20%,-1.90%
BUF,2014,11,-12.00%,-13.30%,-13.20%,-14.40%,5.50%,4.80%
SF,2014,11,-3.20%,-4.20%,-15.50%,-17.30%,-5.50%,-5.80%
DAL,2014,11,11.30%,11.30%,4.40%,3.50%,-1.40%,-1.80%
IND,2014,11,6.60%,6.20%,7.30%,6.90%,5.80%,6.00%
ARI,2014,11,-7.80%,-7.80%,-12.10%,-12.80%,0.10%,-0.40%
NO,2014,11,13.60%,12.90%,11.40%,10.00%,0.40%,0.30%
CIN,2014,11,-1.00%,-2.90%,3.70%,5.30%,4.90%,5.40%
SD,2014,11,8.30%,7.90%,11.80%,11.90%,0.40%,0.30%
CLE,2014,11,-2.20%,-4.70%,1.00%,-0.10%,-0.30%,-0.10%
ATL,2014,11,7.90%,6.70%,15.80%,16.60%,3.70%,3.40%
HOU,2014,11,-3.90%,-4.00%,0.60%,-0.70%,-4.60%,-4.60%
NYJ,2014,11,-13.50%,-13.00%,-0.10%,0.30%,2.30%,2.60%
CHI,2014,11,3.10%,1.60%,8.20%,10.20%,-6.20%,-6.60%
STL,2014,11,-9.40%,-9.00%,2.90%,1.30%,0.60%,0.70%
NYG,2014,11,-8.80%,-9.80%,4.70%,4.70%,-0.40%,0.60%
MIN,2014,11,-17.10%,-15.90%,-0.40%,-0.40%,1.50%,1.70%
TEN,2014,11,-6.00%,-5.20%,9.00%,10.50%,-1.00%,0.00%
WAS,2014,11,-6.70%,-9.40%,5.50%,6.70%,-5.50%,-4.40%
CAR,2014,11,-10.90%,-13.00%,6.70%,6.90%,-2.10%,-1.90%
OAK,2014,11,-22.30%,-22.40%,3.00%,3.10%,1.90%,2.10%
JAC,2014,11,-22.50%,-21.00%,1.30%,0.00%,-3.80%,-3.60%
TB,2014,11,-19.40%,-17.20%,5.90%,4.60%,-3.90%,-3.40%
DEN,2014,12,26.10%,25.90%,-14.30%,-14.40%,-4.90%,-5.30%
NE,2014,12,17.10%,20.40%,-1.70%,-1.90%,6.90%,7.50%
GB,2014,12,24.60%,25.40%,-0.10%,-0.70%,-0.20%,-0.80%
BAL,2014,12,10.10%,9.10%,-4.30%,-5.00%,8.00%,9.10%
MIA,2014,12,12.30%,13.60%,-10.60%,-10.30%,-3.80%,-2.60%
SEA,2014,12,12.00%,10.50%,-8.20%,-7.30%,-1.80%,-1.80%
KC,2014,12,10.30%,10.20%,2.00%,2.60%,5.80%,6.60%
PHI,2014,12,-2.20%,-2.20%,-5.30%,-6.20%,9.40%,9.30%
BUF,2014,12,-11.10%,-11.20%,-14.90%,-15.90%,5.40%,4.90%
DAL,2014,12,14.50%,14.50%,6.10%,5.40%,0.10%,-0.10%
SF,2014,12,-3.90%,-5.10%,-16.60%,-17.80%,-5.00%,-4.50%
IND,2014,12,3.10%,1.50%,2.00%,0.90%,5.80%,6.10%
PIT,2014,12,17.80%,17.60%,9.70%,8.30%,-1.30%,-1.90%
DET,2014,12,-10.00%,-11.50%,-20.50%,-20.60%,-5.90%,-5.40%
CIN,2014,12,-0.40%,-2.10%,1.30%,2.80%,5.20%,5.70%
SD,2014,12,9.60%,8.70%,7.90%,7.80%,-0.40%,-0.70%
ARI,2014,12,-9.60%,-10.00%,-12.60%,-13.50%,-1.80%,-2.50%
NO,2014,12,14.10%,13.50%,14.10%,12.50%,0.80%,1.00%
CLE,2014,12,-3.30%,-5.60%,0.30%,-0.80%,-0.10%,0.20%
ATL,2014,12,6.70%,4.30%,16.50%,16.30%,3.30%,3.10%
HOU,2014,12,-4.80%,-4.50%,0.60%,0.30%,-4.30%,-4.40%
CHI,2014,12,0.00%,-2.10%,4.20%,4.70%,-5.60%,-5.90%
MIN,2014,12,-13.70%,-13.80%,2.60%,2.20%,2.50%,2.80%
STL,2014,12,-12.30%,-12.10%,4.10%,2.70%,1.40%,1.70%
NYG,2014,12,-6.70%,-8.50%,8.20%,9.20%,-0.90%,-0.50%
OAK,2014,12,-18.20%,-17.40%,0.60%,0.30%,0.90%,0.60%
WAS,2014,12,-8.40%,-10.70%,5.20%,5.50%,-4.40%,-3.40%
NYJ,2014,12,-16.60%,-16.90%,2.50%,2.60%,-0.20%,-0.50%
CAR,2014,12,-10.10%,-12.00%,7.30%,6.10%,-2.20%,-2.10%
TEN,2014,12,-8.90%,-8.10%,9.90%,10.40%,-3.10%,-2.60%
JAC,2014,12,-27.10%,-26.60%,-0.80%,-3.10%,-4.10%,-4.20%
TB,2014,12,-23.70%,-22.70%,3.60%,2.10%,-3.90%,-3.80%
DEN,2014,13,23.80%,22.20%,-15.30%,-15.30%,-4.50%,-4.50%
NE,2014,13,18.70%,22.90%,-0.80%,-1.40%,5.80%,6.80%
GB,2014,13,25.40%,26.90%,0.50%,-0.20%,-1.00%,-1.90%
BAL,2014,13,10.70%,10.50%,-2.20%,-2.80%,8.60%,11.10%
SEA,2014,13,12.60%,9.60%,-9.70%,-8.00%,-0.90%,-1.20%
MIA,2014,13,10.60%,11.50%,-9.60%,-7.60%,-3.80%,-2.80%
PHI,2014,13,-1.40%,-0.70%,-8.60%,-11.90%,8.80%,8.80%
KC,2014,13,8.30%,10.60%,0.10%,-1.10%,5.60%,6.20%
BUF,2014,13,-12.40%,-12.90%,-16.00%,-18.20%,5.80%,5.20%
IND,2014,13,4.60%,3.40%,1.20%,0.70%,5.70%,6.40%
DET,2014,13,-6.00%,-7.30%,-18.90%,-17.70%,-5.70%,-4.60%
SF,2014,13,-4.70%,-7.80%,-16.50%,-17.50%,-5.00%,-4.80%
PIT,2014,13,17.60%,16.70%,11.50%,10.10%,-0.40%,-1.00%
NO,2014,13,17.10%,17.40%,12.90%,8.80%,1.20%,1.10%
DAL,2014,13,11.10%,11.10%,7.10%,5.60%,0.00%,0.30%
SD,2014,13,12.80%,14.20%,10.20%,10.50%,-0.80%,-1.40%
CIN,2014,13,-2.50%,-5.40%,0.70%,2.80%,4.60%,5.30%
ARI,2014,13,-9.90%,-10.10%,-10.90%,-10.80%,-2.80%,-2.60%
ATL,2014,13,7.70%,3.90%,15.20%,15.10%,4.40%,4.30%
STL,2014,13,-8.50%,-6.80%,-1.70%,-5.60%,1.90%,3.00%
CLE,2014,13,-4.90%,-8.70%,-0.20%,-3.10%,-0.90%,-0.70%
HOU,2014,13,-3.10%,-1.90%,0.30%,-0.70%,-4.80%,-5.10%
CHI,2014,13,1.90%,-1.50%,8.60%,9.20%,-4.10%,-3.80%
MIN,2014,13,-13.70%,-14.70%,1.50%,2.30%,3.40%,3.80%
NYG,2014,13,-6.30%,-7.10%,7.50%,7.80%,-0.80%,-0.50%
NYJ,2014,13,-15.40%,-14.30%,1.70%,1.50%,-1.30%,-2.30%
WAS,2014,13,-8.70%,-11.10%,7.80%,8.40%,-4.90%,-3.40%
CAR,2014,13,-10.00%,-12.10%,6.10%,6.30%,-6.30%,-7.40%
TEN,2014,13,-12.10%,-15.30%,11.80%,14.20%,-2.20%,-1.50%
OAK,2014,13,-24.60%,-24.20%,4.50%,4.60%,0.50%,0.30%
TB,2014,13,-24.80%,-23.70%,1.20%,-0.70%,-3.30%,-3.40%
JAC,2014,13,-27.70%,-28.30%,-1.30%,-2.00%,-3.60%,-3.00%
DEN,2014,14,24.80%,22.80%,-13.90%,-13.80%,-3.70%,-4.00%
NE,2014,14,15.20%,19.00%,-5.10%,-5.30%,6.00%,6.70%
SEA,2014,14,15.10%,13.80%,-12.30%,-13.40%,-1.80%,-2.50%
GB,2014,14,27.30%,29.20%,1.90%,2.40%,-0.60%,-1.90%
BAL,2014,14,13.10%,13.50%,-2.70%,-1.90%,8.20%,10.50%
MIA,2014,14,9.90%,10.70%,-7.20%,-5.20%,-3.10%,-0.50%
PHI,2014,14,-2.60%,-3.30%,-7.20%,-8.60%,9.00%,10.00%
KC,2014,14,8.60%,10.80%,1.10%,-1.20%,4.80%,6.20%
DET,2014,14,-3.90%,-5.00%,-18.30%,-17.00%,-4.60%,-2.60%
BUF,2014,14,-10.40%,-11.60%,-14.90%,-17.60%,4.90%,3.60%
IND,2014,14,3.10%,2.10%,-0.50%,-2.70%,4.70%,5.10%
PIT,2014,14,20.20%,22.70%,12.60%,11.50%,-0.40%,-0.70%
DAL,2014,14,13.30%,13.90%,10.20%,10.70%,0.60%,0.70%
SF,2014,14,-5.70%,-7.30%,-12.10%,-12.60%,-4.30%,-4.40%
SD,2014,14,9.50%,7.80%,6.00%,4.40%,-1.80%,-2.80%
CIN,2014,14,-1.40%,-5.90%,3.00%,5.90%,5.00%,6.50%
STL,2014,14,-9.10%,-7.70%,-5.60%,-11.40%,3.30%,4.90%
NO,2014,14,11.80%,10.30%,14.50%,10.90%,1.30%,1.30%
ATL,2014,14,10.60%,9.80%,16.20%,15.10%,4.00%,3.80%
ARI,2014,14,-9.50%,-8.90%,-10.40%,-10.70%,-3.50%,-5.20%
CLE,2014,14,-7.20%,-12.70%,-3.40%,-6.70%,0.40%,0.20%
HOU,2014,14,-3.30%,-3.40%,0.40%,-1.20%,-3.90%,-3.70%
MIN,2014,14,-11.10%,-8.50%,1.40%,2.20%,2.60%,3.50%
NYG,2014,14,-8.00%,-8.80%,2.90%,2.60%,0.30%,2.20%
CHI,2014,14,3.00%,-0.50%,9.70%,12.70%,-4.40%,-3.80%
CAR,2014,14,-7.80%,-11.70%,2.60%,2.20%,-6.50%,-7.70%
NYJ,2014,14,-14.80%,-14.10%,2.90%,3.90%,-0.60%,-1.40%
OAK,2014,14,-18.80%,-18.60%,4.20%,2.80%,0.90%,1.20%
WAS,2014,14,-12.30%,-18.40%,8.20%,11.00%,-7.40%,-7.00%
JAC,2014,14,-27.70%,-26.20%,-0.70%,-4.10%,-3.10%,-2.00%
TB,2014,14,-25.10%,-26.60%,2.80%,-0.10%,-2.90%,-2.30%
TEN,2014,14,-19.10%,-23.30%,11.10%,13.60%,-3.00%,-2.60%
DEN,2014,15,23.40%,20.40%,-13.60%,-13.80%,-3.70%,-4.20%
NE,2014,15,16.60%,22.00%,-5.30%,-6.60%,5.30%,6.50%
SEA,2014,15,14.80%,11.60%,-11.90%,-12.70%,-1.30%,-1.10%
BAL,2014,15,14.60%,15.00%,-3.00%,-3.50%,7.50%,10.10%
GB,2014,15,24.50%,26.70%,0.70%,0.50%,-2.10%,-4.10%
KC,2014,15,8.20%,10.80%,1.40%,-0.90%,6.30%,8.20%
PHI,2014,15,-2.20%,-2.90%,-5.40%,-8.80%,9.00%,9.00%
BUF,2014,15,-11.90%,-14.10%,-16.60%,-21.90%,6.80%,6.20%
PIT,2014,15,22.30%,23.40%,13.10%,11.20%,-0.20%,-1.80%
IND,2014,15,2.70%,-0.70%,-2.10%,-5.30%,4.10%,4.20%
MIA,2014,15,7.00%,5.80%,-4.90%,-1.70%,-3.60%,-0.40%
DET,2014,15,-3.90%,-5.00%,-15.60%,-12.10%,-4.80%,-2.70%
DAL,2014,15,14.90%,15.10%,9.20%,8.00%,1.00%,1.80%
SD,2014,15,10.00%,8.10%,4.40%,1.60%,-1.70%,-3.00%
CIN,2014,15,-1.70%,-6.40%,-0.20%,1.90%,5.20%,6.40%
SF,2014,15,-5.20%,-9.50%,-11.60%,-14.60%,-4.10%,-3.90%
NO,2014,15,14.30%,12.30%,12.70%,9.00%,0.60%,0.50%
ARI,2014,15,-10.10%,-11.40%,-11.50%,-13.80%,-2.50%,-3.90%
STL,2014,15,-10.60%,-10.70%,-6.20%,-13.80%,2.90%,4.10%
ATL,2014,15,11.30%,9.50%,17.40%,19.00%,3.40%,2.80%
HOU,2014,15,-4.30%,-5.10%,-0.80%,-4.60%,-3.80%,-3.30%
CLE,2014,15,-10.60%,-19.00%,-3.20%,-6.90%,0.00%,0.80%
NYG,2014,15,-6.30%,-7.80%,1.90%,0.40%,0.70%,2.90%
MIN,2014,15,-8.80%,-4.80%,2.20%,2.90%,1.70%,2.00%
CHI,2014,15,1.10%,-3.70%,11.70%,16.30%,-3.30%,-2.90%
CAR,2014,15,-7.10%,-11.00%,1.70%,-0.90%,-5.70%,-6.70%
NYJ,2014,15,-14.40%,-13.50%,4.70%,6.60%,-1.20%,-2.20%
OAK,2014,15,-20.60%,-21.50%,5.40%,5.10%,-1.00%,-1.60%
WAS,2014,15,-12.20%,-20.60%,9.30%,12.10%,-6.00%,-3.70%
TEN,2014,15,-17.10%,-21.70%,11.00%,13.90%,-2.00%,-0.30%
JAC,2014,15,-26.30%,-25.80%,0.10%,-3.30%,-4.00%,-3.50%
TB,2014,15,-25.00%,-23.90%,3.70%,-0.10%,-2.30%,-0.90%
DEN,2014,16,20.00%,14.80%,-13.60%,-14.50%,-4.40%,-5.10%
SEA,2014,16,17.80%,16.10%,-13.40%,-15.60%,-2.30%,-2.60%
NE,2014,16,14.40%,21.00%,-4.70%,-8.10%,5.80%,6.80%
GB,2014,16,23.00%,24.10%,-2.30%,-5.20%,-2.80%,-5.60%
BAL,2014,16,8.80%,4.30%,-5.30%,-6.50%,8.10%,11.20%
DAL,2014,16,16.40%,16.90%,4.50%,1.90%,0.60%,0.70%
PHI,2014,16,0.00%,0.90%,-4.40%,-7.10%,7.70%,7.30%
PIT,2014,16,23.00%,24.10%,12.90%,9.40%,-0.30%,-1.30%
KC,2014,16,5.30%,3.70%,2.60%,2.40%,6.30%,8.30%
BUF,2014,16,-13.10%,-14.80%,-14.40%,-17.30%,6.30%,5.70%
MIA,2014,16,10.10%,11.00%,-1.80%,1.50%,-5.20%,-2.50%
CIN,2014,16,-1.40%,-6.70%,-1.80%,0.10%,6.00%,7.80%
DET,2014,16,-4.90%,-7.50%,-15.50%,-13.30%,-5.00%,-3.30%
SF,2014,16,-3.50%,-6.20%,-12.10%,-14.20%,-3.50%,-2.00%
IND,2014,16,-0.50%,-6.50%,0.00%,-4.00%,3.40%,3.30%
SD,2014,16,9.70%,6.70%,6.00%,3.30%,-1.80%,-3.20%
NO,2014,16,11.50%,7.00%,13.50%,9.30%,2.20%,3.00%
ATL,2014,16,11.50%,8.70%,14.10%,12.00%,2.70%,2.00%
STL,2014,16,-8.50%,-7.70%,-2.80%,-9.50%,3.10%,4.90%
HOU,2014,16,-6.80%,-8.30%,-6.40%,-11.50%,-3.90%,-3.70%
NYG,2014,16,-1.60%,-3.10%,3.50%,3.80%,0.20%,2.20%
ARI,2014,16,-11.80%,-13.80%,-8.40%,-9.70%,-2.30%,-4.10%
CLE,2014,16,-11.00%,-19.90%,-3.20%,-7.40%,0.20%,0.80%
MIN,2014,16,-6.60%,-3.40%,5.10%,6.00%,2.70%,3.70%
CHI,2014,16,2.40%,-3.40%,11.80%,15.30%,-2.90%,-2.00%
CAR,2014,16,-5.90%,-9.30%,0.80%,-5.00%,-5.80%,-7.50%
NYJ,2014,16,-14.00%,-13.90%,3.30%,2.90%,-1.30%,-2.70%
OAK,2014,16,-18.80%,-19.50%,5.40%,4.00%,-0.80%,-2.10%
WAS,2014,16,-11.60%,-20.30%,9.20%,12.80%,-5.70%,-4.30%
TEN,2014,16,-13.90%,-17.60%,12.00%,14.00%,-1.90%,-0.80%
JAC,2014,16,-25.00%,-22.60%,1.40%,-3.00%,-3.60%,-3.30%
TB,2014,16,-27.90%,-29.70%,3.10%,-0.70%,-1.50%,0.00%
SEA,2014,17,16.70%,15.00%,-16.30%,-19.80%,-1.70%,-1.90%
DEN,2014,17,19.90%,14.10%,-13.30%,-13.40%,-3.70%,-3.60%
GB,2014,17,24.60%,26.70%,-1.00%,-2.30%,-2.30%,-5.00%
NE,2014,17,13.60%,19.40%,-3.40%,-6.20%,5.50%,5.80%
BAL,2014,17,9.70%,6.40%,-4.60%,-6.10%,8.00%,10.40%
DAL,2014,17,17.00%,19.40%,4.10%,-0.10%,0.90%,1.50%
PHI,2014,17,1.00%,1.00%,-3.50%,-7.50%,8.30%,8.20%
PIT,2014,17,22.50%,21.90%,11.30%,8.20%,0.90%,1.10%
BUF,2014,17,-11.10%,-10.60%,-15.60%,-19.10%,6.20%,6.00%
KC,2014,17,4.60%,2.60%,1.40%,0.10%,6.70%,9.40%
SF,2014,17,-0.40%,-1.90%,-10.00%,-11.30%,-3.00%,-1.10%
IND,2014,17,-0.90%,-7.70%,-2.30%,-6.70%,3.30%,2.90%
CIN,2014,17,-1.80%,-7.90%,-2.20%,-2.40%,4.20%,6.00%
DET,2014,17,-3.70%,-5.20%,-13.80%,-9.90%,-5.70%,-3.80%
MIA,2014,17,10.20%,10.80%,0.60%,5.90%,-6.20%,-4.20%
SD,2014,17,7.60%,3.80%,4.90%,2.20%,-2.70%,-4.60%
NO,2014,17,10.00%,4.30%,13.10%,9.00%,1.60%,2.40%
STL,2014,17,-11.60%,-14.80%,-3.70%,-10.70%,3.50%,6.70%
HOU,2014,17,-6.70%,-8.00%,-6.10%,-12.70%,-3.90%,-3.10%
ATL,2014,17,7.20%,2.10%,15.20%,13.80%,3.00%,2.40%
NYG,2014,17,-0.30%,-1.40%,5.00%,6.30%,-0.60%,0.90%
ARI,2014,17,-9.30%,-10.60%,-5.50%,-5.90%,-2.20%,-3.40%
CLE,2014,17,-10.00%,-20.60%,-2.60%,-9.10%,0.60%,1.40%
MIN,2014,17,-7.40%,-2.60%,4.40%,3.90%,3.00%,4.60%
CAR,2014,17,-5.00%,-7.40%,-1.60%,-8.70%,-5.50%,-7.90%
CHI,2014,17,0.00%,-6.70%,10.90%,15.60%,-3.10%,-1.30%
NYJ,2014,17,-10.70%,-6.40%,3.60%,2.70%,-0.70%,-1.70%
WAS,2014,17,-11.70%,-22.60%,9.60%,13.00%,-5.40%,-3.40%
OAK,2014,17,-19.50%,-19.50%,5.80%,5.10%,-1.70%,-3.60%
TB,2014,17,-26.40%,-28.80%,1.20%,-4.00%,-0.80%,1.70%
TEN,2014,17,-16.30%,-23.90%,11.20%,11.30%,-1.80%,0.00%
JAC,2014,17,-24.40%,-22.40%,1.50%,-3.60%,-3.60%,-3.30%
