Team,Year,Week,Offense DVOA,Weighted Offense DVOA,Defense DVOA,Weighted Defense DVOA,ST DVOA,Weighted ST DVOA
HOU,1993,3,-16.20%,-16.20%,-8.60%,-8.60%,2.00%,2.00%
IND,1993,3,-17.70%,-17.70%,-3.40%,-3.40%,-0.90%,-0.40%
STL,1993,3,-7.90%,-7.90%,7.00%,7.00%,-3.60%,-3.60%
MIA,1993,3,4.30%,4.30%,8.60%,8.60%,-20.60%,-10.30%
ARI,1993,3,-4.20%,-4.20%,24.90%,24.90%,4.20%,4.20%
ATL,1993,3,4.30%,4.30%,33.80%,33.80%,2.60%,2.60%
CHI,1993,3,-27.80%,-27.80%,10.90%,10.90%,8.90%,4.40%
NE,1993,3,-21.60%,-21.60%,8.10%,8.10%,-11.00%,-11.00%
MIN,1993,3,-24.90%,-24.90%,-8.30%,-8.30%,-25.40%,-12.70%
CIN,1993,3,-28.20%,-28.20%,15.50%,15.50%,-3.90%,-3.90%
TB,1993,3,-48.20%,-48.20%,24.30%,24.30%,-16.50%,-8.20%
NYJ,1993,4,34.50%,34.50%,-7.80%,-7.80%,-4.40%,-2.90%
NYG,1993,4,19.40%,19.40%,-21.40%,-21.40%,-4.50%,-3.00%
PHI,1993,4,18.70%,18.70%,-21.80%,-21.80%,-7.10%,-4.70%
OAK,1993,4,-3.50%,-3.50%,-31.30%,-31.30%,4.50%,3.00%
GB,1993,4,6.50%,6.50%,-7.40%,-7.40%,13.00%,8.70%
KC,1993,4,-0.40%,-0.40%,-16.20%,-16.20%,7.70%,5.10%
BUF,1993,4,1.60%,1.60%,-7.40%,-7.40%,14.50%,9.70%
NO,1993,4,17.30%,17.30%,-0.10%,-0.10%,2.50%,2.50%
PIT,1993,4,-0.70%,-0.70%,-20.70%,-20.70%,-1.70%,-1.70%
DEN,1993,4,12.70%,12.70%,11.00%,11.00%,11.20%,7.40%
SD,1993,4,-4.90%,-4.90%,-8.40%,-8.40%,5.50%,3.70%
SF,1993,4,20.10%,20.10%,8.80%,8.80%,-4.50%,-4.50%
CHI,1993,4,-14.60%,-14.60%,-7.50%,-7.50%,13.70%,9.10%
CLE,1993,4,-1.70%,-1.70%,-7.60%,-7.60%,0.40%,0.40%
SEA,1993,4,-7.80%,-7.80%,-10.90%,-10.90%,3.00%,3.00%
STL,1993,4,11.20%,11.20%,3.80%,3.80%,-3.10%,-3.10%
MIA,1993,4,12.50%,12.50%,-4.40%,-4.40%,-15.40%,-10.30%
WAS,1993,4,16.00%,16.00%,7.80%,7.80%,-13.10%,-8.80%
DAL,1993,4,20.40%,20.40%,14.80%,14.80%,-11.60%,-7.70%
HOU,1993,4,-6.90%,-6.90%,1.00%,1.00%,0.10%,0.10%
IND,1993,4,-13.80%,-13.80%,-6.40%,-6.40%,-1.00%,-0.70%
MIN,1993,4,-8.40%,-8.40%,-6.20%,-6.20%,-10.00%,-6.60%
DET,1993,4,-24.70%,-24.70%,-6.40%,-6.40%,4.80%,4.80%
ARI,1993,4,-0.20%,-0.20%,19.70%,19.70%,2.10%,2.10%
ATL,1993,4,-13.00%,-13.00%,33.20%,33.20%,8.00%,8.00%
CIN,1993,4,-19.30%,-19.30%,13.20%,13.20%,-7.60%,-7.60%
NE,1993,4,-22.10%,-22.10%,21.00%,21.00%,-7.60%,-7.60%
TB,1993,4,-43.80%,-43.80%,25.90%,25.90%,-14.40%,-9.60%
PHI,1993,5,19.00%,18.90%,-17.40%,-17.40%,0.00%,0.10%
KC,1993,5,9.00%,8.90%,-21.30%,-21.00%,3.10%,2.30%
NO,1993,5,16.40%,16.30%,-6.40%,-6.50%,8.70%,8.70%
NYG,1993,5,11.00%,10.70%,-18.20%,-18.30%,-1.20%,-0.70%
NYJ,1993,5,31.00%,31.30%,-5.40%,-5.60%,-9.60%,-7.20%
DEN,1993,5,20.80%,20.70%,2.50%,2.70%,6.00%,4.40%
BUF,1993,5,-2.20%,-2.60%,-12.60%,-12.60%,7.50%,5.50%
OAK,1993,5,-5.50%,-5.80%,-18.60%,-18.50%,3.70%,2.80%
SF,1993,5,19.50%,19.90%,3.90%,4.50%,1.00%,1.10%
PIT,1993,5,-3.00%,-2.20%,-19.90%,-19.70%,-2.30%,-1.80%
GB,1993,5,1.40%,0.80%,3.20%,3.40%,12.40%,9.20%
CHI,1993,5,-15.10%,-15.10%,-11.70%,-12.10%,11.60%,8.80%
SEA,1993,5,-1.20%,-1.10%,-6.70%,-6.40%,1.60%,1.70%
DAL,1993,5,29.30%,29.50%,13.00%,12.50%,-9.90%,-7.40%
MIA,1993,5,12.80%,12.90%,-2.90%,-2.80%,-9.50%,-7.00%
CLE,1993,5,-5.70%,-5.80%,-6.70%,-6.60%,0.50%,0.40%
WAS,1993,5,13.60%,13.00%,6.90%,6.80%,-5.90%,-4.50%
SD,1993,5,-3.30%,-3.10%,-0.80%,-0.60%,1.90%,1.20%
HOU,1993,5,-7.60%,-7.60%,-1.80%,-2.10%,0.10%,0.20%
STL,1993,5,2.60%,2.90%,8.50%,8.20%,-6.60%,-6.60%
ARI,1993,5,-2.30%,-2.20%,18.20%,18.10%,2.80%,2.30%
DET,1993,5,-23.10%,-23.00%,-0.80%,-0.40%,3.90%,3.90%
MIN,1993,5,-11.20%,-11.00%,-3.40%,-3.70%,-12.30%,-9.20%
IND,1993,5,-20.60%,-20.60%,10.40%,10.40%,0.60%,0.50%
ATL,1993,5,-17.80%,-17.40%,24.90%,25.10%,6.90%,7.00%
CIN,1993,5,-22.20%,-22.00%,12.60%,12.80%,-10.10%,-7.80%
TB,1993,5,-26.90%,-26.60%,18.90%,18.90%,-6.70%,-4.90%
NE,1993,5,-23.50%,-23.40%,20.10%,19.90%,-10.10%,-7.60%
NYG,1993,6,23.00%,22.80%,-16.80%,-16.90%,-5.10%,-4.10%
NO,1993,6,16.00%,15.80%,-3.90%,-4.30%,10.90%,8.90%
BUF,1993,6,4.70%,4.60%,-20.90%,-20.90%,4.10%,3.10%
PHI,1993,6,10.50%,10.50%,-18.00%,-17.80%,0.70%,0.80%
KC,1993,6,11.40%,12.00%,-13.20%,-13.10%,3.50%,2.80%
PIT,1993,6,-1.50%,-0.50%,-25.20%,-25.50%,0.00%,0.00%
OAK,1993,6,-1.80%,-2.00%,-19.00%,-18.80%,6.30%,5.10%
DAL,1993,6,31.90%,32.40%,3.20%,3.00%,-7.10%,-5.60%
NYJ,1993,6,26.70%,26.60%,-2.20%,-2.20%,-10.10%,-8.20%
SF,1993,6,22.80%,23.20%,5.40%,5.70%,1.20%,1.20%
DEN,1993,6,16.60%,16.40%,0.00%,-0.10%,-0.10%,-0.30%
GB,1993,6,1.20%,0.90%,1.70%,2.00%,14.20%,11.40%
CHI,1993,6,-11.50%,-11.30%,-14.90%,-15.40%,8.00%,6.40%
MIA,1993,6,14.40%,14.60%,-3.50%,-3.80%,-8.00%,-6.30%
SEA,1993,6,-2.10%,-1.80%,-4.60%,-4.30%,2.00%,1.60%
MIN,1993,6,-10.60%,-10.60%,-19.60%,-20.00%,-9.30%,-7.30%
CLE,1993,6,-7.00%,-7.40%,-2.80%,-2.70%,-2.40%,-2.00%
SD,1993,6,-8.10%,-8.30%,3.30%,3.50%,1.50%,1.20%
WAS,1993,6,11.40%,11.20%,19.70%,20.20%,-4.10%,-3.10%
STL,1993,6,4.50%,4.40%,8.90%,8.90%,-8.30%,-6.70%
ARI,1993,6,-0.10%,0.20%,18.90%,19.20%,1.90%,1.50%
HOU,1993,6,-15.70%,-15.90%,5.50%,5.90%,1.30%,1.10%
DET,1993,6,-23.30%,-23.20%,2.00%,2.40%,4.80%,3.80%
ATL,1993,6,-15.50%,-15.40%,26.10%,26.30%,8.70%,7.00%
CIN,1993,6,-16.20%,-15.80%,15.00%,15.30%,-6.30%,-5.10%
IND,1993,6,-28.30%,-28.40%,13.70%,14.10%,-0.10%,-0.10%
NE,1993,6,-17.60%,-17.60%,20.90%,21.00%,-9.40%,-7.40%
TB,1993,6,-41.20%,-41.20%,15.00%,15.00%,-5.10%,-4.00%
NYG,1993,7,24.40%,24.50%,-12.90%,-12.80%,-3.80%,-3.10%
PIT,1993,7,-2.10%,-1.80%,-33.50%,-34.10%,-0.20%,-0.30%
BUF,1993,7,3.10%,3.00%,-21.70%,-21.80%,3.30%,3.10%
PHI,1993,7,10.70%,10.60%,-13.30%,-13.20%,1.50%,1.40%
OAK,1993,7,-3.50%,-3.50%,-19.30%,-19.10%,7.60%,6.40%
NO,1993,7,7.20%,7.00%,-4.90%,-5.00%,10.90%,9.30%
KC,1993,7,11.70%,12.00%,-12.30%,-12.30%,-1.20%,-1.10%
SF,1993,7,30.40%,30.40%,6.50%,6.50%,-2.60%,-2.10%
NYJ,1993,7,25.30%,25.30%,-1.90%,-1.90%,-8.00%,-8.20%
DAL,1993,7,31.40%,31.60%,8.30%,8.10%,-4.30%,-3.40%
MIA,1993,7,15.00%,15.20%,-2.10%,-2.40%,-6.40%,-6.30%
GB,1993,7,0.70%,0.40%,2.00%,2.30%,11.40%,11.40%
DEN,1993,7,12.90%,13.00%,-0.90%,-1.20%,-4.30%,-3.80%
CHI,1993,7,-12.50%,-12.40%,-15.50%,-16.00%,6.40%,6.40%
MIN,1993,7,-10.90%,-10.90%,-19.70%,-20.00%,-7.40%,-7.30%
CLE,1993,7,-4.90%,-5.00%,-4.90%,-4.60%,0.70%,0.50%
ARI,1993,7,1.10%,1.40%,12.00%,11.80%,4.00%,3.30%
DET,1993,7,-19.10%,-18.70%,-2.60%,-2.40%,9.30%,7.80%
HOU,1993,7,-10.40%,-10.40%,1.10%,1.50%,2.50%,2.10%
SD,1993,7,-5.40%,-5.40%,6.70%,7.00%,1.90%,1.60%
SEA,1993,7,-12.50%,-12.50%,0.90%,1.20%,-1.60%,-1.40%
STL,1993,7,3.50%,3.50%,8.70%,8.90%,-11.50%,-9.70%
WAS,1993,7,4.40%,4.10%,18.70%,19.00%,-2.60%,-2.00%
ATL,1993,7,-8.80%,-9.20%,23.50%,23.40%,11.10%,9.40%
CIN,1993,7,-17.60%,-17.50%,14.90%,14.80%,-6.70%,-5.70%
IND,1993,7,-29.70%,-29.80%,13.60%,14.00%,-0.10%,-0.10%
NE,1993,7,-17.00%,-17.10%,23.70%,24.00%,-9.20%,-7.60%
TB,1993,7,-40.30%,-40.30%,13.70%,13.70%,-4.00%,-4.00%
NYG,1993,8,24.10%,24.20%,-13.30%,-13.30%,-3.10%,-3.10%
BUF,1993,8,3.30%,3.40%,-26.40%,-26.80%,3.00%,2.80%
SF,1993,8,32.80%,33.00%,4.80%,4.60%,-1.90%,-1.50%
PIT,1993,8,3.40%,3.60%,-28.70%,-28.80%,-6.80%,-6.00%
PHI,1993,8,10.10%,9.90%,-13.70%,-13.50%,1.30%,1.40%
KC,1993,8,10.70%,10.90%,-13.70%,-13.60%,-1.00%,-1.10%
OAK,1993,8,-3.10%,-3.20%,-20.00%,-19.90%,6.40%,6.40%
DAL,1993,8,32.70%,32.80%,7.60%,7.40%,-3.60%,-3.40%
NYJ,1993,8,22.80%,22.50%,-2.70%,-2.60%,-5.60%,-5.70%
MIA,1993,8,17.90%,18.00%,-2.60%,-2.70%,-4.50%,-4.30%
NO,1993,8,2.70%,2.30%,-4.30%,-4.30%,8.00%,7.00%
GB,1993,8,0.30%,0.00%,-0.70%,-0.60%,11.60%,11.70%
DEN,1993,8,13.30%,13.40%,-0.60%,-0.90%,-3.50%,-3.80%
MIN,1993,8,-7.50%,-7.50%,-25.00%,-25.50%,-7.70%,-7.70%
CHI,1993,8,-14.50%,-14.60%,-14.60%,-14.90%,8.40%,8.40%
CLE,1993,8,-1.20%,-1.00%,-1.70%,-1.60%,7.20%,6.40%
HOU,1993,8,-4.50%,-4.40%,3.80%,3.90%,1.80%,1.60%
DET,1993,8,-14.20%,-13.90%,0.40%,0.60%,6.70%,5.70%
SD,1993,8,-6.00%,-6.00%,6.20%,6.60%,1.60%,1.60%
ARI,1993,8,-1.40%,-1.40%,14.70%,14.50%,4.10%,3.60%
ATL,1993,8,-6.50%,-6.50%,18.40%,18.00%,12.00%,10.30%
STL,1993,8,7.50%,7.30%,11.20%,11.50%,-9.60%,-8.40%
WAS,1993,8,3.00%,2.70%,17.90%,18.20%,-2.20%,-2.00%
SEA,1993,8,-17.50%,-17.60%,-0.70%,-0.50%,-2.60%,-2.40%
CIN,1993,8,-15.30%,-15.10%,18.40%,18.40%,-4.70%,-3.90%
NE,1993,8,-18.70%,-18.60%,17.40%,17.20%,-7.50%,-6.40%
IND,1993,8,-29.30%,-29.50%,15.20%,15.70%,-3.80%,-3.90%
TB,1993,8,-40.80%,-40.80%,15.20%,15.00%,-4.90%,-4.70%
BUF,1993,9,6.00%,5.40%,-31.30%,-32.70%,2.10%,1.60%
SF,1993,9,33.60%,34.60%,1.50%,3.30%,-3.50%,-3.00%
PIT,1993,9,2.70%,5.30%,-30.00%,-29.10%,-5.80%,-6.20%
DAL,1993,9,35.80%,37.10%,7.20%,5.00%,-1.90%,-1.50%
NYG,1993,9,18.90%,18.30%,-10.00%,-9.90%,-3.10%,-2.60%
MIA,1993,9,24.20%,25.30%,-5.50%,-5.80%,-4.10%,-3.40%
NYJ,1993,9,21.80%,22.00%,-6.30%,-6.90%,-5.70%,-5.60%
OAK,1993,9,-0.50%,-1.70%,-13.50%,-12.80%,6.70%,7.10%
NO,1993,9,0.50%,-1.00%,-10.00%,-10.60%,7.70%,6.60%
PHI,1993,9,8.90%,7.90%,-7.90%,-7.60%,1.10%,1.40%
GB,1993,9,1.90%,0.30%,-2.80%,-2.60%,9.90%,9.70%
DEN,1993,9,16.10%,15.40%,0.50%,0.80%,-3.20%,-4.10%
KC,1993,9,4.80%,4.00%,-7.50%,-6.40%,-0.70%,-1.00%
MIN,1993,9,-5.80%,-5.10%,-23.90%,-26.40%,-7.80%,-7.60%
CLE,1993,9,-1.70%,-1.20%,-3.60%,-3.10%,6.20%,6.80%
CHI,1993,9,-15.10%,-15.40%,-12.20%,-13.30%,7.00%,7.10%
SD,1993,9,-0.10%,1.20%,7.00%,7.50%,1.30%,0.60%
HOU,1993,9,-5.00%,-5.10%,3.80%,3.10%,1.50%,1.80%
DET,1993,9,-15.30%,-14.50%,4.30%,5.80%,8.70%,7.90%
STL,1993,9,3.50%,4.00%,11.60%,11.30%,-6.90%,-5.90%
ATL,1993,9,-6.20%,-4.50%,21.20%,21.70%,12.30%,11.10%
ARI,1993,9,-8.30%,-8.10%,12.60%,12.00%,4.40%,4.50%
SEA,1993,9,-19.00%,-19.20%,0.10%,1.30%,-2.40%,-2.00%
WAS,1993,9,-1.50%,-4.50%,18.20%,19.30%,-1.90%,-1.80%
CIN,1993,9,-15.10%,-14.10%,18.60%,19.10%,-4.00%,-4.40%
IND,1993,9,-26.10%,-26.40%,9.70%,10.30%,-2.80%,-3.10%
NE,1993,9,-20.30%,-20.40%,18.40%,17.90%,-7.20%,-6.10%
TB,1993,9,-35.80%,-35.20%,14.00%,13.40%,-8.50%,-8.40%
DAL,1993,10,40.00%,42.30%,5.00%,3.70%,-0.40%,0.50%
BUF,1993,10,4.10%,3.60%,-29.90%,-30.10%,0.50%,-0.30%
SF,1993,10,34.10%,35.70%,-0.90%,0.10%,-3.00%,-2.80%
PIT,1993,10,3.10%,7.40%,-30.80%,-31.30%,-4.90%,-5.70%
NYJ,1993,10,23.80%,23.60%,-8.70%,-8.70%,-5.20%,-5.30%
MIA,1993,10,21.70%,23.20%,-2.20%,-3.00%,-2.40%,-1.60%
NO,1993,10,0.00%,-2.20%,-11.70%,-13.10%,6.80%,7.20%
OAK,1993,10,-0.90%,-1.60%,-12.10%,-10.80%,6.60%,7.00%
KC,1993,10,4.40%,6.10%,-12.40%,-11.90%,-1.80%,-2.10%
DEN,1993,10,18.10%,17.70%,1.50%,2.40%,-3.00%,-4.20%
GB,1993,10,-3.30%,-4.40%,-4.00%,-3.60%,10.90%,10.70%
NYG,1993,10,12.20%,11.00%,-3.20%,-2.70%,-3.90%,-3.80%
PHI,1993,10,2.90%,1.90%,-5.80%,-4.10%,0.70%,1.40%
CLE,1993,10,-2.00%,-2.30%,-0.80%,0.40%,4.10%,4.50%
SD,1993,10,6.00%,7.60%,6.30%,7.20%,1.20%,0.90%
MIN,1993,10,-7.40%,-6.40%,-15.60%,-16.50%,-7.70%,-7.30%
CHI,1993,10,-13.00%,-12.10%,-8.50%,-9.60%,3.30%,3.10%
HOU,1993,10,-2.80%,-2.60%,5.00%,6.20%,1.70%,2.00%
DET,1993,10,-13.70%,-12.10%,2.90%,4.60%,8.50%,7.50%
ARI,1993,10,-6.00%,-4.80%,8.00%,7.30%,2.30%,2.00%
STL,1993,10,2.90%,1.80%,11.00%,11.50%,-6.00%,-6.20%
ATL,1993,10,-6.60%,-5.50%,20.60%,21.00%,10.80%,11.40%
SEA,1993,10,-16.50%,-16.40%,-0.40%,1.40%,-2.60%,-2.50%
WAS,1993,10,1.20%,-1.00%,19.40%,21.80%,-1.30%,-0.50%
IND,1993,10,-23.80%,-23.30%,7.80%,9.30%,-1.70%,-1.80%
CIN,1993,10,-15.20%,-13.60%,18.50%,19.80%,-4.10%,-4.40%
NE,1993,10,-18.40%,-18.60%,15.50%,15.80%,-6.20%,-5.00%
TB,1993,10,-41.20%,-40.80%,18.10%,18.30%,-7.40%,-7.40%
PIT,1993,11,8.10%,11.50%,-29.90%,-31.10%,-3.20%,-4.10%
SF,1993,11,36.10%,36.90%,2.70%,2.40%,-2.30%,-2.10%
DAL,1993,11,35.10%,36.20%,5.30%,3.90%,0.20%,1.10%
BUF,1993,11,3.80%,3.30%,-23.80%,-23.40%,0.70%,0.00%
NYJ,1993,11,24.20%,24.00%,-7.20%,-7.00%,-5.20%,-5.30%
MIA,1993,11,16.60%,17.90%,-2.90%,-3.70%,-1.40%,-0.60%
NO,1993,11,-0.20%,-1.90%,-13.50%,-14.30%,4.80%,5.00%
KC,1993,11,8.50%,9.90%,-10.80%,-9.60%,-1.60%,-2.30%
OAK,1993,11,1.90%,2.70%,-7.50%,-4.90%,6.10%,6.40%
GB,1993,11,-5.10%,-6.10%,-6.70%,-6.70%,10.80%,10.70%
DEN,1993,11,17.60%,18.50%,2.50%,2.90%,-2.70%,-3.70%
PHI,1993,11,3.90%,2.60%,-5.80%,-4.60%,1.30%,2.00%
NYG,1993,11,10.30%,9.50%,-3.30%,-2.20%,-3.30%,-3.30%
SD,1993,11,5.40%,7.30%,2.70%,4.20%,-0.20%,-0.70%
MIN,1993,11,-6.30%,-5.10%,-13.90%,-14.40%,-7.40%,-7.00%
HOU,1993,11,0.80%,2.10%,2.60%,4.80%,1.60%,1.50%
CHI,1993,11,-13.80%,-12.90%,-9.10%,-10.20%,3.70%,3.50%
CLE,1993,11,-12.30%,-12.80%,-1.40%,0.40%,3.40%,3.60%
DET,1993,11,-12.80%,-10.80%,2.30%,4.10%,7.50%,7.60%
ARI,1993,11,-5.80%,-5.30%,6.50%,5.40%,2.80%,2.30%
ATL,1993,11,-6.10%,-7.10%,16.00%,15.10%,10.20%,11.00%
SEA,1993,11,-16.10%,-16.10%,-4.30%,-3.20%,-3.20%,-3.30%
STL,1993,11,-1.80%,-2.80%,10.90%,12.20%,-5.10%,-5.10%
WAS,1993,11,-0.20%,-2.10%,17.60%,19.10%,-0.50%,0.50%
IND,1993,11,-22.70%,-21.90%,11.20%,12.70%,-0.80%,-0.90%
NE,1993,11,-18.30%,-18.60%,14.80%,15.00%,-5.50%,-4.90%
CIN,1993,11,-18.90%,-18.10%,20.00%,20.10%,-3.10%,-3.00%
TB,1993,11,-36.30%,-35.40%,19.80%,20.30%,-5.90%,-5.80%
SF,1993,12,40.70%,42.50%,-0.80%,-2.30%,-2.90%,-2.70%
PIT,1993,12,4.80%,6.40%,-24.30%,-23.40%,-3.30%,-3.50%
NYJ,1993,12,22.70%,21.90%,-7.30%,-6.80%,-5.90%,-6.20%
BUF,1993,12,3.90%,4.20%,-18.60%,-18.60%,0.80%,-0.10%
DAL,1993,12,28.00%,28.30%,8.90%,8.00%,0.70%,1.60%
DEN,1993,12,21.80%,23.20%,1.20%,1.20%,-1.30%,-2.10%
KC,1993,12,10.20%,11.30%,-10.20%,-8.70%,-1.60%,-2.20%
MIA,1993,12,17.50%,18.30%,-1.40%,-1.00%,-0.80%,0.20%
OAK,1993,12,2.20%,3.20%,-9.10%,-7.00%,5.10%,5.30%
GB,1993,12,-3.90%,-4.70%,-5.70%,-6.20%,9.50%,9.50%
NYG,1993,12,8.50%,7.30%,-5.30%,-4.30%,-3.60%,-3.70%
NO,1993,12,-4.20%,-7.20%,-8.80%,-8.80%,3.80%,3.90%
PHI,1993,12,-0.40%,-2.00%,-7.20%,-6.40%,0.70%,1.20%
SD,1993,12,5.10%,6.70%,3.90%,5.30%,0.50%,0.10%
CHI,1993,12,-11.40%,-10.50%,-8.40%,-8.70%,4.40%,3.80%
HOU,1993,12,-1.70%,-0.20%,1.10%,1.60%,0.20%,0.10%
ATL,1993,12,-1.10%,0.00%,11.10%,8.80%,8.90%,9.00%
MIN,1993,12,-8.40%,-7.90%,-11.70%,-11.80%,-6.90%,-6.80%
DET,1993,12,-11.90%,-10.10%,1.60%,2.50%,7.20%,7.60%
CLE,1993,12,-14.40%,-15.00%,-3.80%,-2.70%,2.80%,3.00%
ARI,1993,12,-6.40%,-6.40%,7.90%,6.20%,2.50%,2.50%
SEA,1993,12,-16.20%,-15.70%,-4.40%,-3.60%,-2.90%,-3.70%
STL,1993,12,-2.50%,-4.60%,8.30%,9.20%,-4.10%,-4.10%
WAS,1993,12,-3.90%,-5.90%,17.50%,18.40%,-0.70%,0.10%
IND,1993,12,-19.20%,-18.50%,12.80%,14.50%,-1.10%,-1.10%
CIN,1993,12,-16.70%,-16.20%,19.20%,19.20%,-1.10%,-0.20%
NE,1993,12,-18.00%,-17.60%,15.20%,14.90%,-6.20%,-5.90%
TB,1993,12,-29.10%,-27.20%,14.90%,14.00%,-3.20%,-2.60%
SF,1993,13,40.70%,45.40%,1.10%,3.50%,-2.60%,-2.80%
KC,1993,13,12.90%,13.30%,-12.50%,-10.10%,-0.40%,-0.90%
DAL,1993,13,24.00%,24.40%,4.60%,0.20%,1.20%,2.90%
DEN,1993,13,19.50%,19.50%,-0.90%,-0.30%,-1.60%,-3.10%
NYJ,1993,13,18.60%,17.40%,-4.50%,-4.70%,-4.70%,-4.30%
PIT,1993,13,0.90%,4.70%,-20.10%,-16.00%,-3.20%,-3.50%
BUF,1993,13,0.90%,-0.60%,-15.50%,-15.40%,0.80%,-0.60%
OAK,1993,13,1.50%,1.10%,-9.10%,-6.60%,4.40%,4.70%
MIA,1993,13,13.00%,14.90%,-3.40%,-3.60%,-3.90%,-2.70%
GB,1993,13,-4.10%,-7.30%,-4.80%,-5.90%,9.50%,9.20%
NYG,1993,13,9.50%,7.40%,-1.80%,0.20%,-1.80%,-0.90%
SD,1993,13,10.80%,14.30%,2.80%,3.30%,-0.40%,-1.80%
NO,1993,13,-6.40%,-12.80%,-7.70%,-7.00%,5.70%,5.10%
PHI,1993,13,0.50%,-3.20%,-4.00%,-2.10%,-0.30%,-0.10%
HOU,1993,13,0.10%,1.80%,-2.70%,-4.20%,0.70%,1.10%
CHI,1993,13,-12.50%,-11.70%,-10.90%,-12.70%,2.40%,1.40%
MIN,1993,13,-5.30%,-3.50%,-14.00%,-15.80%,-9.30%,-9.10%
ATL,1993,13,-0.30%,5.00%,12.90%,11.50%,8.80%,9.20%
DET,1993,13,-13.70%,-11.60%,-0.30%,2.20%,6.90%,7.60%
CLE,1993,13,-12.40%,-12.30%,-2.20%,-0.60%,1.70%,2.00%
ARI,1993,13,-2.40%,-1.30%,8.70%,5.90%,2.20%,3.00%
SEA,1993,13,-17.50%,-18.30%,-7.60%,-5.50%,-2.50%,-2.90%
STL,1993,13,-3.00%,-4.00%,10.00%,8.80%,-3.70%,-2.80%
WAS,1993,13,-3.00%,-9.00%,17.50%,19.50%,-0.30%,0.50%
CIN,1993,13,-15.60%,-13.40%,16.30%,16.20%,-2.50%,-2.40%
NE,1993,13,-15.80%,-14.30%,13.90%,12.00%,-6.90%,-6.60%
IND,1993,13,-19.70%,-18.80%,19.00%,21.40%,-0.50%,-0.50%
TB,1993,13,-26.50%,-24.40%,12.40%,11.30%,-3.20%,-2.20%
SF,1993,14,39.40%,44.00%,2.30%,2.50%,-2.10%,-1.90%
KC,1993,14,15.90%,20.10%,-12.80%,-10.80%,-0.40%,-0.80%
DAL,1993,14,24.00%,24.80%,5.60%,3.80%,2.20%,4.60%
PIT,1993,14,-1.00%,4.60%,-21.80%,-19.50%,-2.00%,-2.60%
OAK,1993,14,7.10%,8.10%,-5.40%,-1.00%,4.80%,5.10%
BUF,1993,14,4.40%,3.50%,-11.40%,-8.20%,-0.10%,-1.70%
DEN,1993,14,16.70%,16.00%,-0.50%,0.10%,-2.50%,-4.40%
SD,1993,14,11.90%,16.10%,-1.90%,-2.70%,0.10%,-0.50%
NYJ,1993,14,14.00%,10.60%,-5.80%,-5.60%,-6.10%,-6.20%
NYG,1993,14,12.10%,9.90%,-1.30%,1.00%,-1.70%,-1.00%
MIA,1993,14,14.80%,17.20%,0.10%,-1.10%,-4.20%,-3.30%
GB,1993,14,-2.80%,-4.00%,-4.30%,-4.70%,8.10%,7.10%
HOU,1993,14,-0.40%,2.30%,-7.60%,-8.70%,1.20%,1.40%
NO,1993,14,-8.90%,-18.00%,-7.10%,-7.90%,6.60%,7.00%
PHI,1993,14,2.50%,0.30%,-4.10%,-0.40%,-2.00%,-1.60%
MIN,1993,14,-5.70%,-3.00%,-17.70%,-17.90%,-9.10%,-9.00%
CHI,1993,14,-11.60%,-10.00%,-9.40%,-10.50%,2.30%,1.40%
ARI,1993,14,1.10%,4.10%,8.20%,5.20%,2.90%,3.10%
CLE,1993,14,-12.00%,-13.70%,-3.50%,-1.20%,1.80%,2.20%
DET,1993,14,-18.30%,-17.10%,0.10%,1.80%,6.10%,6.10%
ATL,1993,14,-6.10%,-3.40%,14.00%,11.10%,7.60%,7.90%
SEA,1993,14,-15.50%,-16.20%,-3.60%,-0.20%,-1.20%,-1.50%
WAS,1993,14,-3.90%,-9.00%,14.90%,16.90%,-0.80%,0.70%
STL,1993,14,-4.20%,-7.90%,14.40%,15.90%,-4.00%,-3.60%
CIN,1993,14,-13.00%,-10.10%,15.90%,16.90%,-1.40%,-0.90%
IND,1993,14,-19.40%,-16.50%,15.50%,18.70%,0.40%,0.60%
NE,1993,14,-18.00%,-17.30%,11.70%,10.40%,-6.20%,-5.30%
TB,1993,14,-26.10%,-22.00%,11.60%,10.70%,-2.30%,-1.20%
SF,1993,15,33.60%,34.40%,3.40%,3.40%,-2.60%,-2.40%
KC,1993,15,16.00%,19.40%,-11.70%,-8.90%,-1.90%,-3.40%
DAL,1993,15,25.90%,26.60%,7.00%,3.90%,2.50%,5.50%
OAK,1993,15,8.50%,12.30%,-3.00%,4.90%,6.30%,7.00%
PIT,1993,15,-0.10%,4.00%,-21.20%,-18.70%,-4.00%,-6.10%
DEN,1993,15,15.90%,16.70%,0.20%,0.40%,-1.70%,-3.10%
SD,1993,15,9.00%,14.00%,-3.70%,-3.90%,0.70%,-0.30%
MIA,1993,15,14.70%,17.70%,-0.40%,-1.50%,-1.80%,-0.10%
NYG,1993,15,13.70%,12.10%,-0.40%,3.50%,-1.80%,-1.00%
NYJ,1993,15,11.90%,8.40%,-6.30%,-6.50%,-6.10%,-6.20%
BUF,1993,15,1.70%,-0.40%,-9.60%,-6.10%,-0.30%,-2.00%
GB,1993,15,-3.70%,-5.50%,-6.30%,-6.70%,7.80%,6.60%
PHI,1993,15,4.20%,1.50%,-7.10%,-5.40%,-3.90%,-4.90%
