Team,Year,Week,Offense DVOA,Weighted Offense DVOA,Defense DVOA,Weighted Defense DVOA,ST DVOA,Weighted ST DVOA
SD,1991,3,-0.50%,-0.50%,7.30%,7.30%,-7.10%,-7.10%
NYJ,1991,3,-8.40%,-8.40%,4.60%,4.60%,-3.00%,-3.00%
DAL,1991,3,-2.10%,-2.10%,25.70%,25.70%,3.50%,3.50%
DET,1991,3,2.00%,2.00%,25.60%,25.60%,-3.20%,-3.20%
MIN,1991,3,-3.40%,-3.40%,20.90%,20.90%,-2.80%,-2.80%
IND,1991,3,-20.50%,-20.50%,2.80%,2.80%,-10.10%,-10.10%
GB,1991,3,-30.10%,-30.10%,5.70%,5.70%,-0.70%,-0.70%
ARI,1991,3,-33.20%,-33.20%,4.10%,4.10%,-1.00%,-1.00%
CIN,1991,3,-17.70%,-17.70%,22.80%,22.80%,-1.00%,-1.00%
NE,1991,3,-41.60%,-41.60%,-4.10%,-4.10%,-8.10%,-8.10%
WAS,1991,4,32.80%,32.80%,-18.80%,-18.80%,20.20%,20.20%
PHI,1991,4,-12.80%,-12.80%,-42.70%,-42.70%,5.50%,5.50%
DEN,1991,4,26.80%,26.80%,-11.90%,-11.90%,-11.20%,-11.20%
NO,1991,4,-9.90%,-9.90%,-32.30%,-32.30%,2.70%,2.70%
KC,1991,4,14.50%,14.50%,-8.90%,-8.90%,0.30%,0.30%
BUF,1991,4,34.80%,34.80%,4.20%,4.20%,-10.20%,-10.20%
SF,1991,4,22.60%,22.60%,-3.90%,-3.90%,-7.50%,-7.50%
CHI,1991,4,15.50%,15.50%,-3.20%,-3.20%,0.40%,0.40%
NYG,1991,4,3.00%,3.00%,-13.60%,-13.60%,-1.10%,-1.10%
HOU,1991,4,14.00%,14.00%,1.20%,1.20%,2.30%,2.30%
CLE,1991,4,-4.00%,-4.00%,-13.40%,-13.40%,4.60%,4.60%
PIT,1991,4,0.10%,0.10%,4.90%,4.90%,9.90%,9.90%
MIA,1991,4,8.40%,8.40%,10.60%,10.60%,1.70%,1.70%
DAL,1991,4,12.50%,12.50%,15.10%,15.10%,0.70%,0.70%
ATL,1991,4,-5.40%,-5.40%,-0.40%,-0.40%,-4.40%,-4.40%
SEA,1991,4,-7.70%,-7.70%,-1.40%,-1.40%,-3.60%,-3.60%
TB,1991,4,-9.20%,-9.20%,-4.80%,-4.80%,-6.80%,-6.80%
OAK,1991,4,-13.20%,-13.20%,2.50%,2.50%,3.00%,3.00%
NYJ,1991,4,-3.90%,-3.90%,7.00%,7.00%,-3.80%,-3.80%
SD,1991,4,-5.60%,-5.60%,5.70%,5.70%,-3.70%,-3.70%
DET,1991,4,7.70%,7.70%,17.70%,17.70%,-6.80%,-6.80%
STL,1991,4,-8.20%,-8.20%,14.00%,14.00%,3.60%,3.60%
CIN,1991,4,-1.40%,-1.40%,19.70%,19.70%,-5.30%,-5.30%
GB,1991,4,-28.70%,-28.70%,0.90%,0.90%,1.60%,1.60%
MIN,1991,4,-18.20%,-18.20%,9.80%,9.80%,-1.00%,-1.00%
ARI,1991,4,-24.20%,-24.20%,6.30%,6.30%,-1.10%,-1.10%
NE,1991,4,-34.00%,-34.00%,-0.80%,-0.80%,-5.70%,-5.70%
IND,1991,4,-18.40%,-18.40%,11.20%,11.20%,-9.60%,-9.60%
WAS,1991,5,21.70%,21.40%,-33.20%,-32.90%,16.60%,16.60%
NO,1991,5,-6.40%,-6.30%,-36.50%,-36.90%,3.60%,3.60%
DEN,1991,5,20.40%,19.90%,-10.00%,-9.80%,-6.70%,-6.50%
KC,1991,5,14.50%,14.80%,-6.70%,-6.40%,-1.60%,-1.60%
PHI,1991,5,-26.20%,-26.20%,-41.20%,-40.90%,3.60%,3.60%
